Initial Config Label,Initial Config 2jj,Initial Config eig,Final Config Label,Final Config 2jj,Final Config eig,Energy (eV),Intensity (a.u.),Energy width (eV)
 1s ,3,2, 3s ,1,1,8854.12,1.43694e-10,7.3975
 1s ,3,2, 3p ,7,4,8899.73,1.36116e-10,7.11681
 1s ,3,2, 3p ,1,4,8900.26,2.57941e-05,7.12846
 1s ,3,2, 3p ,3,7,8900.26,4.60453e-05,7.14697
 1s ,3,2, 3p ,5,7,8900.26,0.000222698,7.13803
 1s ,3,2, 3p ,3,6,8900.3,6.00734e-05,7.24316
 1s ,3,2, 3p ,5,6,8900.3,4.3951e-05,7.02754
 1s ,3,2, 3p ,3,5,8900.44,2.94052e-05,9.98434
 1s ,3,2, 3p ,5,5,8900.44,0.000118701,7.295
 1s ,3,2, 3p ,5,4,8902.69,6.67671e-05,7.02163
 1s ,3,2, 3p ,7,3,8902.69,2.54353e-08,7.05096
 1s ,3,2, 3p ,3,4,8902.69,4.83135e-05,9.60236
 1s ,3,2, 3p ,1,3,8902.7,1.76645e-05,7.29607
 1s ,3,2, 3p ,3,3,8902.71,4.81634e-05,7.25237
 1s ,3,2, 3p ,5,3,8902.72,0.000116686,9.80837
 1s ,3,2, 3p ,3,2,8902.93,0.000372631,7.13697
 1s ,3,2, 3p ,5,2,8902.93,0.000323863,7.10578
 1s ,3,2, 3p ,1,2,8902.93,0.000238246,10.182
 1s ,3,2, 3p ,7,2,8902.93,1.06411e-08,9.66381
 1s ,3,2, 3p ,7,1,8902.96,2.45436e-09,7.0961
 1s ,3,2, 3p ,5,1,8902.96,7.3501e-07,7.06716
 1s ,3,2, 3p ,9,1,0.0,0.0,7.10979
